Elmas kaplı, seramik, mermer, granit delici panç 45mm | Price: 816 | SalePrice: 
Beta Taşlanmış prizmatik tabanlı, dökme demirden yapılmış, kırılmaz su terazisi tüpüne sahip, 0,05 mm/m hassasiyetli hassas makine su terazisi | Price: 13450 | SalePrice: 
Beta Boru Anahtarı, İsveç Tipi, 45° İnce Çeneli - L: 650 mm Ø max: 3" gas Ø max: 90 mm A: 36 mm S: 18 mm Ağırlık: 4287 g | Price: 8030 | SalePrice: 
Beta 32 Serisi Nokta Zımbası Ø (Çap): 5 mm L (Uzunluk): 150 mm L1 (Kısa Uzunluk): 62 mm S (Kalınlık/Gövde): 12 mm Ağırlık: 103 g | Price: 435 | SalePrice: 
Beta 32 Serisi Nokta Zımbası Ø (Çap): 4 mm L (Uzunluk): 125 mm L1 (Kısa Uzunluk): 52 mm S (Kalınlık/Gövde): 10 mm Ağırlık: 59 g | Price: 275 | SalePrice: 
Beta 32 Serisi Nokta Zımbası Ø (Çap): 3 mm L (Uzunluk): 100 mm L1 (Kısa Uzunluk): 44 mm S (Kalınlık/Gövde): 8 mm Ağırlık: 30 g | Price: 290 | SalePrice: 
Beta Dayanıklı Polyester Kılıfın İçerisinde 6'lı Pim Zımba Seti | Price: 2870 | SalePrice: 
355x2.4x25.4x90 Wilke Alman Profesyonel Metal DryCut Testere | Price: 5320 | SalePrice: 
305x2.2x25.4x80 Wilke Alman Profesyonel Metal DryCut Testere | Price: 4300 | SalePrice: 
305x2.2x25.4x60 Wilke Alman Profesyonel Metal DryCut Testere | Price: 4025 | SalePrice: 
250x2x32x100 Wilke Alman Profesyonel Metal DryCut Testere | Price: 3200 | SalePrice: 
250x2.2x32x48 Wilke Alman Profesyonel Metal DryCut Testere | Price: 2625 | SalePrice: 
230x2,5x30x44 Wilke Alman Profesyonel Metal DryCut Testere | Price: 2100 | SalePrice: 
200x2x32x68 Wilke Alman Profesyonel Metal DryCut Testere | Price: 2850 | SalePrice: 
190x2,4x20x38 Wilke Alman Profesyonel Metal DryCut Testere | Price: 1900 | SalePrice: 
180x2,4x20x34 Wilke Alman Profesyonel Metal DryCut Testere | Price: 1700 | SalePrice: 
160x1,6x32x54 Wilke Alman Profesyonel Metal DryCut Testere | Price: 2800 | SalePrice: 
125x3,1/4,3x20x24 Wilke Alman Profesyonel Ahşap Çizici Testere | Price: 1900 | SalePrice: 
550x4,4x30-32-40x128 Wilke Alman Profesyonel Testere Aluminyum, Plastik, Pvc vb. | Price: 11000 | SalePrice: 
500x4,2x30-32x120 Wilke Alman Profesyonel Testere Aluminyum, Plastik, Pvc vb. | Price: 7700 | SalePrice: 
